,Tilt,,Accuracy,,trials.thisTrialN,tilt,trials.thisTrialN,key_resp.corr
,9,,0.81,,0,-10,0,0
,8,,,,1,12,1,1
,8.5,,,,2,11,2,1
,8.5,,,,3,-11,3,1
,7,,,,4,-11,4,1
diff threshold,8.2,,,,5,-10,5,1
,,,,,6,-10,6,1
,,,,,7,-10,7,1
,,,,,8,9,8,1
,,,,,9,-9,9,0
,,,,,10,-10,10,1
,,,,,11,-10,11,1
,,,,,12,10,12,1
,,,,,13,-9.5,13,1
,,,,,14,9.5,14,1
,,,,,15,-9.5,15,1
,,,,,16,-9,16,0
,,,,,17,9.5,17,1
,,,,,18,9.5,18,1
,,,,,19,-9.5,19,1
,,,,,20,9,20,1
,,,,,21,-9,21,1
,,,,,22,9,22,1
,,,,,23,-8.5,23,1
,,,,,24,-8.5,24,1
,,,,,25,-8.5,25,1
,,,,,26,-8,26,0
,,,,,27,-8.5,27,0
,,,,,28,9,28,1
,,,,,29,-9,29,1
,,,,,30,9,30,1
,,,,,31,8.5,31,0
,,,,,32,9,32,1
,,,,,33,9,33,1
,,,,,34,9,34,1
,,,,,35,-8.5,35,1
,,,,,36,-8.5,36,1
,,,,,37,-8.5,37,1
,,,,,38,8,38,1
,,,,,39,-8,39,0
,,,,,40,8.5,40,1
,,,,,41,-8.5,41,1
,,,,,42,8.5,42,1
,,,,,43,8,43,1
,,,,,44,8,44,1
,,,,,45,8,45,1
,,,,,46,7.5,46,1
,,,,,47,-7.5,47,1
,,,,,48,-7.5,48,1
,,,,,49,-7,49,1
,,,,,50,7,50,1
,,,,,51,7,51,0
,,,,,52,7.5,52,0
,,,,,53,8,53,1
,,,,,54,8,54,1
,,,,,55,-8,55,1
,,,,,56,7.5,56,0
,,,,,57,-8,57,1
,,,,,58,-8,58,1
,,,,,59,8,59,1
,,,,,60,7.5,60,1
,,,,,61,7.5,61,1
,,,,,62,7.5,62,0
,,,,,63,8,63,1
,,,,,64,-8,64,1
,,,,,65,8,65,1
,,,,,66,-7.5,66,0
,,,,,67,8,67,0
,,,,,68,8.5,68,1
,,,,,69,8.5,69,1
,,,,,70,8.5,70,1
,,,,,71,-8,71,1
,,,,,72,-8,72,1
,,,,,73,-8,73,1
,,,,,74,-7.5,74,1
,,,,,75,-7.5,75,1
,,,,,76,-7.5,76,1
,,,,,77,-7,77,1
,,,,,78,7,78,1
,,,,,79,7,79,0
,,,,,80,7.5,80,0
,,,,,81,8,81,0
,,,,,82,-8.5,82,1
,,,,,83,-8.5,83,1
,,,,,84,8.5,84,1
,,,,,85,8,85,1
,,,,,86,8,86,1
,,,,,87,-8,87,0
,,,,,88,-8.5,88,1
,,,,,89,-8.5,89,1
,,,,,90,-8.5,90,1
,,,,,91,8,91,1
,,,,,92,8,92,0
,,,,,93,8.5,93,0
,,,,,94,9,94,1
,,,,,95,-9,95,1
,,,,,96,-9,96,1
,,,,,97,-8.5,97,1
,,,,,98,8.5,98,1
,,,,,99,8.5,99,1
