word,colour,stimulus_condition,correct_response,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instruction.started,text_2.started,instruction.stopped,trial.started,fixation.started,fixation.stopped,text.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,thank_you.started,text_3.started,text_3.stopped,thank_you.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
RED,red,C,r,0,0,0,r,1,1.7084542,None,0,0,0,0,1.0418447,,,,,1.0375822,1.0418447,1.504761,1.504761,1.504761,3.381697,r,1,1.7084542,None,,,,,2,1,2025-08-26_16h16.09.916,exp 0.1 trial stroop task,,2025.1.1,60.02300077,2025-08-26 16h16.20.922617 +0530
BLUE,blue,C,b,3,3,0,b,1,0.548427,None,0,3,3,3,5.8713857,,,,,5.8596354,5.8713857,6.3544524,6.3544524,6.3544524,6.9051509,b,1,0.548427,None,,,,,2,1,2025-08-26_16h16.09.916,exp 0.1 trial stroop task,,2025.1.1,60.02300077,2025-08-26 16h16.20.922617 +0530
RED,red,C,r,4,0,1,r,1,0.4801407,None,1,0,4,0,6.9209558,,,,,6.9105078,6.9209558,7.4043638,7.4043638,7.4043638,7.8905236,r,1,0.4801407,None,,,,,2,1,2025-08-26_16h16.09.916,exp 0.1 trial stroop task,,2025.1.1,60.02300077,2025-08-26 16h16.20.922617 +0530
BLUE,blue,C,b,6,2,1,b,1,1.1329773,None,1,2,6,3,8.8543984,,,,,8.843006,8.8543984,9.3379147,9.3379147,9.3379147,10.4719935,b,1,1.1329773,None,,,,,2,1,2025-08-26_16h16.09.916,exp 0.1 trial stroop task,,2025.1.1,60.02300077,2025-08-26 16h16.20.922617 +0530
BLUE,blue,C,b,9,1,2,b,1,0.5497455,None,2,1,9,3,12.7710936,,,,,12.7563187,12.7710936,13.2547208,13.2547208,13.2547208,13.8055266,b,1,0.5497455,None,,,,,2,1,2025-08-26_16h16.09.916,exp 0.1 trial stroop task,,2025.1.1,60.02300077,2025-08-26 16h16.20.922617 +0530
RED,red,C,r,10,2,2,r,1,1.0835878,None,2,2,10,0,13.8208976,,,,,13.8114362,13.8208976,14.3051089,14.3051089,14.3051089,15.4048691,r,1,1.0835878,None,,,,,2,1,2025-08-26_16h16.09.916,exp 0.1 trial stroop task,,2025.1.1,60.02300077,2025-08-26 16h16.20.922617 +0530
RED,red,C,r,12,0,3,r,1,0.6925302,None,3,0,12,0,16.8709529,,,,,16.8565207,16.8709529,17.3545965,17.3545965,17.3545965,18.0552322,r,1,0.6925302,None,,,,,2,1,2025-08-26_16h16.09.916,exp 0.1 trial stroop task,,2025.1.1,60.02300077,2025-08-26 16h16.20.922617 +0530
BLUE,blue,C,b,15,3,3,b,1,0.8708633,None,3,3,15,3,20.7209084,,,,,20.7098871,20.7209084,21.2049602,21.2049602,21.2049602,22.0884943,b,1,0.8708633,None,,,,,2,1,2025-08-26_16h16.09.916,exp 0.1 trial stroop task,,2025.1.1,60.02300077,2025-08-26 16h16.20.922617 +0530
BLUE,blue,C,b,16,0,4,b,1,0.463093,None,4,0,16,3,22.104457,,,,,22.0894735,22.104457,22.6041879,22.6041879,22.6041879,23.0719354,b,1,0.463093,None,,,,,2,1,2025-08-26_16h16.09.916,exp 0.1 trial stroop task,,2025.1.1,60.02300077,2025-08-26 16h16.20.922617 +0530
RED,red,C,r,19,3,4,r,1,0.3418919,None,4,3,19,0,24.9545415,,,,,24.9432025,24.9545415,25.4378923,25.4378923,25.4378923,25.7887608,r,1,0.3418919,None,,,,,2,1,2025-08-26_16h16.09.916,exp 0.1 trial stroop task,,2025.1.1,60.02300077,2025-08-26 16h16.20.922617 +0530
