word,colour,stimulus_condition,correct_response,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instruction.started,text_2.started,text_2.stopped,instruction.stopped,trial.started,fixation.started,fixation.stopped,text.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,thank_you.started,text_3.started,text_3.stopped,thank_you.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
RED,red,C,r,2,2,0,r,1,0.4765619,None,0,2,2,0,3.0781753,,,,,,3.0672745,3.0781753,3.5616121,3.5616121,3.5616121,4.0456166,r,1,0.4765619,None,,,,,5,1,2025-08-26_16h47.16.843,exp 0.1 trial stroop task,,2025.1.1,59.97861162,2025-08-26 16h47.22.867720 +0530
BLUE,blue,C,b,3,3,0,b,1,0.3927137,None,0,3,3,3,4.0617236,,,,,,4.0507166,4.0617236,4.5448524,4.5448524,4.5448524,4.9456224,b,1,0.3927137,None,,,,,5,1,2025-08-26_16h47.16.843,exp 0.1 trial stroop task,,2025.1.1,59.97861162,2025-08-26 16h47.22.867720 +0530
BLUE,blue,C,b,4,0,1,b,1,0.4253403,None,1,0,4,3,4.9615997,,,,,,4.9466926,4.9615997,5.4453919,5.4453919,5.4453919,5.8788621,b,1,0.4253403,None,,,,,5,1,2025-08-26_16h47.16.843,exp 0.1 trial stroop task,,2025.1.1,59.97861162,2025-08-26 16h47.22.867720 +0530
RED,red,C,r,5,1,1,r,1,0.3133477,None,1,1,5,0,5.8949528,,,,,,5.8834518,5.8949528,6.3782028,6.3782028,6.3782028,6.6953806,r,1,0.3133477,None,,,,,5,1,2025-08-26_16h47.16.843,exp 0.1 trial stroop task,,2025.1.1,59.97861162,2025-08-26 16h47.22.867720 +0530
BLUE,blue,C,b,10,2,2,b,1,0.3406445,None,2,2,10,3,10.2780472,,,,,,10.2629739,10.2780472,10.7616403,10.7616403,10.7616403,11.1123765,b,1,0.3406445,None,,,,,5,1,2025-08-26_16h47.16.843,exp 0.1 trial stroop task,,2025.1.1,59.97861162,2025-08-26 16h47.22.867720 +0530
RED,red,C,r,11,3,2,r,1,0.4966804,None,2,3,11,0,11.1284365,,,,,,11.1165199,11.1284365,11.628311,11.628311,11.628311,12.1289785,r,1,0.4966804,None,,,,,5,1,2025-08-26_16h47.16.843,exp 0.1 trial stroop task,,2025.1.1,59.97861162,2025-08-26 16h47.22.867720 +0530
RED,red,C,r,14,2,3,r,1,0.4017363,None,3,2,14,0,14.0280246,,,,,,14.0169812,14.0280246,14.5116863,14.5116863,14.5116863,14.9287668,r,1,0.4017363,None,,,,,5,1,2025-08-26_16h47.16.843,exp 0.1 trial stroop task,,2025.1.1,59.97861162,2025-08-26 16h47.22.867720 +0530
BLUE,blue,C,b,15,3,3,b,1,0.3902207,None,3,3,15,3,14.9449263,,,,,,14.9336262,14.9449263,15.4282901,15.4282901,15.4282901,15.828663,b,1,0.3902207,None,,,,,5,1,2025-08-26_16h47.16.843,exp 0.1 trial stroop task,,2025.1.1,59.97861162,2025-08-26 16h47.22.867720 +0530
BLUE,blue,C,b,16,0,4,b,1,0.4159503,None,4,0,16,3,15.844812,,,,,,15.830092,15.844812,16.3281362,16.3281362,16.3281362,16.7457559,b,1,0.4159503,None,,,,,5,1,2025-08-26_16h47.16.843,exp 0.1 trial stroop task,,2025.1.1,59.97861162,2025-08-26 16h47.22.867720 +0530
RED,red,C,r,18,2,4,r,1,0.383339,None,4,2,18,0,17.6450184,,,,,,17.6340344,17.6450184,18.128122,18.128122,18.128122,18.5124775,r,1,0.383339,None,,,,,5,1,2025-08-26_16h47.16.843,exp 0.1 trial stroop task,,2025.1.1,59.97861162,2025-08-26 16h47.22.867720 +0530
RED,red,C,r,21,1,5,r,1,0.41206,None,5,1,21,0,20.2448672,,,,,,20.2296804,20.2448672,20.7282416,20.7282416,20.7282416,21.1454824,r,1,0.41206,None,,,,,5,1,2025-08-26_16h47.16.843,exp 0.1 trial stroop task,,2025.1.1,59.97861162,2025-08-26 16h47.22.867720 +0530
BLUE,blue,C,b,23,3,5,b,1,0.4069197,None,5,3,23,3,22.0613194,,,,,,22.0467736,22.0613194,22.5449809,22.5449809,22.5449809,22.9624101,b,1,0.4069197,None,,,,,5,1,2025-08-26_16h47.16.843,exp 0.1 trial stroop task,,2025.1.1,59.97861162,2025-08-26 16h47.22.867720 +0530
RED,red,C,r,25,1,6,r,1,0.3751854,None,6,1,25,0,23.9281984,,,,,,23.917443,23.9281984,24.411552,24.411552,24.411552,24.795823,r,1,0.3751854,None,,,,,5,1,2025-08-26_16h47.16.843,exp 0.1 trial stroop task,,2025.1.1,59.97861162,2025-08-26 16h47.22.867720 +0530
BLUE,blue,C,b,27,3,6,r,0,0.3610179,None,6,3,27,3,25.7282259,,,,,,25.7171369,25.7282259,26.2280333,26.2280333,26.2280333,26.59549,r,0,0.3610179,None,,,,,5,1,2025-08-26_16h47.16.843,exp 0.1 trial stroop task,,2025.1.1,59.97861162,2025-08-26 16h47.22.867720 +0530
RED,red,C,r,28,0,7,r,1,0.5705991,None,7,0,28,0,26.6116412,,,,,,26.6006101,26.6116412,27.0946275,27.0946275,27.0946275,27.6788296,r,1,0.5705991,None,,,,,5,1,2025-08-26_16h47.16.843,exp 0.1 trial stroop task,,2025.1.1,59.97861162,2025-08-26 16h47.22.867720 +0530
BLUE,blue,C,b,30,2,7,b,1,0.3823894,None,7,2,30,3,28.611635,,,,,,28.6006367,28.611635,29.0949695,29.0949695,29.0949695,29.4789693,b,1,0.3823894,None,,,,,5,1,2025-08-26_16h47.16.843,exp 0.1 trial stroop task,,2025.1.1,59.97861162,2025-08-26 16h47.22.867720 +0530
BLUE,blue,C,b,34,2,8,b,1,0.4692767,None,8,2,34,3,33.5116446,,,,,,33.4967258,33.5116446,33.9950105,33.9950105,33.9950105,34.4790435,b,1,0.4692767,None,,,,,5,1,2025-08-26_16h47.16.843,exp 0.1 trial stroop task,,2025.1.1,59.97861162,2025-08-26 16h47.22.867720 +0530
RED,red,C,r,35,3,8,r,1,0.5104823,None,8,3,35,0,34.4949214,,,,,,34.4840348,34.4949214,34.978097,34.978097,34.978097,35.4957449,r,1,0.5104823,None,,,,,5,1,2025-08-26_16h47.16.843,exp 0.1 trial stroop task,,2025.1.1,59.97861162,2025-08-26 16h47.22.867720 +0530
BLUE,blue,C,b,37,1,9,b,1,0.4104342,None,9,1,37,3,36.4448791,,,,,,36.4334633,36.4448791,36.9285626,36.9285626,36.9285626,37.3453429,b,1,0.4104342,None,,,,,5,1,2025-08-26_16h47.16.843,exp 0.1 trial stroop task,,2025.1.1,59.97861162,2025-08-26 16h47.22.867720 +0530
RED,red,C,r,39,3,9,r,1,0.3472871,None,9,3,39,0,38.3116447,,,,,,38.3006641,38.3116447,38.794872,38.794872,38.794872,39.1453313,r,1,0.3472871,None,,,,,5,1,2025-08-26_16h47.16.843,exp 0.1 trial stroop task,,2025.1.1,59.97861162,2025-08-26 16h47.22.867720 +0530
RED,blue,I,b,0,0,0,b,1,0.492398,None,0,0,0,1,1.0295955,,,,,,1.0242099,1.0295955,1.5116191,1.5116191,1.5116191,2.0189579,b,1,0.492398,None,,,,,5,1,2025-08-26_16h47.16.843,exp 0.1 trial stroop task,,2025.1.1,59.97861162,2025-08-26 16h47.22.867720 +0530
BLUE,red,I,r,1,1,0,r,1,0.525782,None,0,1,1,2,2.0305109,,,,,,2.0273876,2.0305109,2.5281951,2.5281951,2.5281951,3.0622147,r,1,0.525782,None,,,,,5,1,2025-08-26_16h47.16.843,exp 0.1 trial stroop task,,2025.1.1,59.97861162,2025-08-26 16h47.22.867720 +0530
BLUE,red,I,r,6,2,1,r,1,0.4089455,None,1,2,6,2,6.7113386,,,,,,6.6999395,6.7113386,7.1947581,7.1947581,7.1947581,7.6121701,r,1,0.4089455,None,,,,,5,1,2025-08-26_16h47.16.843,exp 0.1 trial stroop task,,2025.1.1,59.97861162,2025-08-26 16h47.22.867720 +0530
RED,blue,I,b,7,3,1,b,1,0.3925296,None,1,3,7,1,7.6280598,,,,,,7.6169618,7.6280598,8.1116181,8.1116181,8.1116181,8.5120716,b,1,0.3925296,None,,,,,5,1,2025-08-26_16h47.16.843,exp 0.1 trial stroop task,,2025.1.1,59.97861162,2025-08-26 16h47.22.867720 +0530
RED,blue,I,b,8,0,2,b,1,0.3281409,None,2,0,8,1,8.5279397,,,,,,8.5131429,8.5279397,9.0116261,9.0116261,9.0116261,9.3456326,b,1,0.3281409,None,,,,,5,1,2025-08-26_16h47.16.843,exp 0.1 trial stroop task,,2025.1.1,59.97861162,2025-08-26 16h47.22.867720 +0530
BLUE,red,I,r,9,1,2,r,1,0.404859,None,2,1,9,2,9.3615935,,,,,,9.3511638,9.3615935,9.8449691,9.8449691,9.8449691,10.2620118,r,1,0.404859,None,,,,,5,1,2025-08-26_16h47.16.843,exp 0.1 trial stroop task,,2025.1.1,59.97861162,2025-08-26 16h47.22.867720 +0530
